card_id,card_code,card_rarity,card_type,card_image,card_art_variant,card_name,card_color,card_expansion,card_power,card_cost,card_counter,card_effect,card_trigger,card_banned
EB01-006-0,EB01-006,SR,Animal;Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png?250502,0,Tony Tony.Chopper,Red,EB01,4000.0,3,1000.0,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,0
OP01-006-1,OP01-006,UC,Land of Wano,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p1.png?250502,1,Otama,Red,OP01,,1,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,0
OP01-006-2,OP01-006,UC,Land of Wano,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p2.png?250502,2,Otama,Red,OP01,,1,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,0
OP01-006-3,OP01-006,UC,Land of Wano,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p3.png?250502,3,Otama,Red,OP01,,1,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,0
OP01-006-0,OP01-006,UC,Land of Wano,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_r1.png?250502,0,Otama,Red,OP01,,1,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,0
OP01-016-7,OP01-016,R,Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016_p7.png?250502,7,Nami,Red,OP01,2000.0,1,1000.0,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,0
OP01-024-2,OP01-024,SR,Supernovas;Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_p2.png?250502,2,Monkey.D.Luffy,Red,OP01,3000.0,2,1000.0,[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,,0
OP01-024-0,OP01-024,SR,Supernovas;Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_r1.png?250502,0,Monkey.D.Luffy,Red,OP01,3000.0,2,1000.0,[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,,0
OP01-029-3,OP01-029,UC,Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p3.png?250502,3,Radical Beam!!,Red,OP01,,1,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,0
OP01-029-4,OP01-029,UC,Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p4.png?250502,4,Radical Beam!!,Red,OP01,,1,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,0
OP01-029-0,OP01-029,UC,Straw Hat Crew,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_r1.png?250502,0,Radical Beam!!,Red,OP01,,1,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,0
OP01-033-2,OP01-033,UC,Land of Wano;Former Whitebeard Pirates,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p2.png?250502,2,Izo,Green,OP01,3000.0,3,2000.0,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,,0
OP01-033-3,OP01-033,UC,Land of Wano;Former Whitebeard Pirates,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p3.png?250502,3,Izo,Green,OP01,3000.0,3,2000.0,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,,0
OP01-033-4,OP01-033,UC,Land of Wano;Former Whitebeard Pirates,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_p4.png?250502,4,Izo,Green,OP01,3000.0,3,2000.0,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,,0
OP01-033-0,OP01-033,UC,Land of Wano;Former Whitebeard Pirates,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033_r1.png?250502,0,Izo,Green,OP01,3000.0,3,2000.0,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,,0
OP01-041-2,OP01-041,R,Land of Wano;Kouzuki Clan,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_p2.png?250502,2,Kouzuki Momonosuke,Green,OP01,,1,1000.0,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,0
OP01-041-3,OP01-041,R,Land of Wano;Kouzuki Clan,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_p3.png?250502,3,Kouzuki Momonosuke,Green,OP01,,1,1000.0,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,0
OP01-041-4,OP01-041,R,Land of Wano;Kouzuki Clan,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_p4.png?250502,4,Kouzuki Momonosuke,Green,OP01,,1,1000.0,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,0
OP01-041-0,OP01-041,R,Land of Wano;Kouzuki Clan,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041_r1.png?250502,0,Kouzuki Momonosuke,Green,OP01,,1,1000.0,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,0
OP01-047-3,OP01-047,SR,Supernovas;Heart Pirates,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-047_p3.png?250502,3,Trafalgar Law,Green,OP01,6000.0,5,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] You may return 1 of your Characters to the owner's hand: Play up to 1 Character card with a cost of 3 or less from your hand.",,0
